booking_id;booking_date;customer_id;flight_id;booking_channel;fare_class;fare_family;ticket_price_usd;ancillary_revenue_usd;bags_count;seat_selection_flag;booking_status
BKG000024;2024-12-21;CUST0089;FLT00001;Web;Economy;Basic;$74,70;$18,00;1;1;Confirmed
BKG000025;2024-12-10;CUST0081;FLT00001;Web;Premium Economy;Standard;$159,00;$18,00;1;0;Flown
BKG000026;2024-12-02;CUST0098;FLT00002;Web;Economy;Basic;$139,50;$12,00;0;0;Flown
BKG000027;2024-11-18;CUST0002;FLT00002;Travel Agency;Economy;Standard;$82,00;$12,00;0;1;Flown
BKG000028;2024-12-04;CUST0137;FLT00002;Web;Economy;Basic;$66,60;$18,00;1;0;Confirmed
BKG000029;2024-11-30;CUST0030;FLT00002;Travel Agency;Economy;Flex;$177,00;$0,00;0;0;Confirmed
BKG000030;2024-12-01;CUST0254;FLT00002;Mobile App;Economy;Standard;$78,00;$36,00;2;0;Confirmed
BKG000031;2024-11-15;CUST0224;FLT00002;Web;Economy;Standard;$159,00;$0,00;0;0;Confirmed
BKG000032;2024-11-08;CUST0165;FLT00002;Travel Agency;Economy;Basic;$145,80;$30,00;1;1;Flown
BKG000033;2024-11-15;CUST0142;FLT00002;Corporate Desk;Economy;Standard;$92,00;$12,00;0;0;Flown
BKG000034;2024-11-19;CUST0080;FLT00002;Mobile App;Economy;Basic;$75,60;$12,00;0;0;Flown
BKG000035;2024-11-11;CUST0182;FLT00002;Corporate Desk;Economy;Basic;$130,50;$18,00;1;0;Flown
BKG000036;2024-12-17;CUST0105;FLT00002;Travel Agency;Economy;Basic;$105,30;$18,00;1;0;Flown
BKG000037;2024-11-12;CUST0215;FLT00002;Corporate Desk;Economy;Standard;$75,00;$30,00;1;1;Flown
BKG000038;2024-12-06;CUST0128;FLT00002;Web;Economy;Flex;$164,02;$30,00;1;1;Flown
BKG000039;2024-11-13;CUST0110;FLT00002;Travel Agency;Economy;Flex;$188,80;$30,00;1;0;Flown
BKG000040;2024-11-26;CUST0222;FLT00002;Web;Economy;Standard;$151,00;$30,00;1;1;Flown
BKG000041;2024-11-11;CUST0017;FLT00002;Mobile App;Economy;Standard;$155,00;$48,00;2;1;Flown
BKG000042;2024-12-14;CUST0056;FLT00002;Corporate Desk;Economy;Standard;$93,00;$30,00;1;0;Flown
BKG000043;2024-12-22;CUST0174;FLT00002;Travel Agency;Premium Economy;Flex;$223,02;$18,00;1;0;Changed
BKG000044;2024-12-10;CUST0094;FLT00002;Web;Economy;Standard;$77,00;$36,00;2;0;Flown
BKG000045;2024-11-04;CUST0219;FLT00002;Travel Agency;Economy;Basic;$153,00;$30,00;1;1;Flown
BKG000046;2024-12-31;CUST0131;FLT00002;Travel Agency;Business;Standard;$223,20;$18,00;1;0;Flown
BKG000047;2024-11-18;CUST0171;FLT00002;Mobile App;Economy;Basic;$144,90;$12,00;0;1;Confirmed
BKG000048;2024-11-25;CUST0124;FLT00002;Travel Agency;Economy;Standard;$143,00;$48,00;2;0;Flown
BKG000049;2024-12-17;CUST0063;FLT00002;Web;Economy;Standard;$123,00;$48,00;2;1;Changed
BKG000050;2024-12-29;CUST0124;FLT00002;Travel Agency;Economy;Standard;$112,00;$30,00;1;1;Flown
BKG000051;2024-11-23;CUST0240;FLT00003;Mobile App;Business;Basic;$254,88;$18,00;1;1;Flown
BKG000052;2024-11-05;CUST0199;FLT00003;Web;Economy;Flex;$121,54;$18,00;1;1;Flown
BKG000053;2024-12-05;CUST0109;FLT00003;Corporate Desk;Economy;Basic;$72,90;$12,00;0;1;Flown
BKG000054;2024-12-24;CUST0179;FLT00003;Travel Agency;Economy;Flex;$107,38;$0,00;0;1;Flown
BKG000055;2024-12-14;CUST0108;FLT00003;Travel Agency;Economy;Standard;$112,00;$18,00;1;0;Flown
BKG000056;2024-12-23;CUST0190;FLT00003;Travel Agency;Premium Economy;Standard;$207,00;$18,00;1;0;Flown
BKG000057;2024-11-19;CUST0214;FLT00003;Mobile App;Economy;Flex;$115,64;$30,00;1;1;Flown
BKG000058;2024-11-09;CUST0133;FLT00003;Web;Economy;Standard;$128,00;$0,00;0;0;Flown
BKG000059;2024-11-27;CUST0165;FLT00003;Mobile App;Economy;Standard;$133,00;$18,00;1;0;Flown
BKG000060;2024-11-19;CUST0096;FLT00003;Travel Agency;Economy;Standard;$87,00;$18,00;1;1;Flown
BKG000061;2024-11-18;CUST0069;FLT00003;Mobile App;Economy;Standard;$84,00;$12,00;0;0;Flown
BKG000062;2024-12-21;CUST0164;FLT00003;Web;Economy;Standard;$116,00;$18,00;1;0;Confirmed
BKG000063;2024-11-07;CUST0017;FLT00003;Web;Economy;Standard;$135,00;$30,00;1;0;Flown
BKG000064;2024-11-17;CUST0267;FLT00003;Corporate Desk;Economy;Standard;$99,00;$18,00;1;0;Flown
BKG000065;2024-12-27;CUST0104;FLT00003;Web;Economy;Standard;$147,00;$12,00;0;0;Flown
BKG000066;2024-11-04;CUST0062;FLT00003;Web;Economy;Standard;$155,00;$18,00;1;0;Changed
BKG000067;2024-11-15;CUST0226;FLT00003;Travel Agency;Economy;Flex;$165,20;$36,00;2;0;Flown
BKG000068;2024-12-07;CUST0283;FLT00003;Corporate Desk;Economy;Standard;$88,00;$18,00;1;0;No Show
BKG000069;2024-12-06;CUST0113;FLT00003;Web;Economy;Standard;$135,00;$0,00;0;0;Confirmed
BKG000070;2024-11-30;CUST0226;FLT00003;Web;Business;Standard;$324,00;$18,00;1;1;Flown
BKG000071;2024-11-13;CUST0082;FLT00003;Mobile App;Economy;Standard;$154,00;$48,00;2;1;Flown
BKG000072;2024-12-16;CUST0242;FLT00003;Travel Agency;Business;Basic;$205,20;$18,00;1;0;Flown
BKG000073;2024-12-11;CUST0179;FLT00003;Corporate Desk;Economy;Standard;$118,00;$18,00;1;0;Flown
BKG000074;2024-11-04;CUST0155;FLT00003;Mobile App;Economy;Flex;$165,20;$18,00;1;0;Flown
BKG000075;2024-11-18;CUST0049;FLT00003;Corporate Desk;Premium Economy;Standard;$193,50;$18,00;1;0;Flown
BKG000076;2024-12-14;CUST0089;FLT00004;Mobile App;Economy;Basic;$158,40;$18,00;1;0;Flown
BKG000077;2024-12-03;CUST0296;FLT00004;Corporate Desk;Premium Economy;Basic;$364,50;$18,00;1;0;Confirmed
BKG000078;2024-12-18;CUST0103;FLT00004;Travel Agency;Economy;Flex;$336,30;$18,00;1;0;No Show
BKG000079;2024-12-21;CUST0089;FLT00004;Travel Agency;Economy;Standard;$242,00;$36,00;2;0;Flown
BKG000080;2024-12-26;CUST0052;FLT00004;Travel Agency;Economy;Standard;$349,00;$12,00;0;1;Flown
BKG000081;2024-12-16;CUST0135;FLT00004;Corporate Desk;Economy;Basic;$176,40;$48,00;2;0;Flown
BKG000082;2024-12-17;CUST0005;FLT00004;Mobile App;Economy;Standard;$235,00;$18,00;1;1;Confirmed
BKG000083;2024-11-22;CUST0199;FLT00004;Corporate Desk;Economy;Flex;$259,60;$0,00;0;1;Flown
BKG000084;2024-11-04;CUST0272;FLT00004;Corporate Desk;Premium Economy;Standard;$247,50;$36,00;2;0;Flown
BKG000085;2024-11-06;CUST0287;FLT00004;Web;Economy;Flex;$414,18;$0,00;0;0;Flown
BKG000086;2024-12-21;CUST0221;FLT00004;Mobile App;Business;Basic;$604,80;$18,00;1;1;Flown
BKG000087;2024-11-19;CUST0154;FLT00004;Web;Economy;Standard;$358,00;$0,00;0;1;Confirmed
BKG000088;2024-11-19;CUST0227;FLT00004;Web;Economy;Standard;$179,00;$30,00;1;1;Confirmed
BKG000089;2024-11-20;CUST0152;FLT00004;Web;Economy;Standard;$326,00;$12,00;0;1;Confirmed
BKG000090;2024-12-24;CUST0189;FLT00004;Web;Economy;Standard;$282,00;$18,00;1;1;Flown
BKG000091;2024-12-01;CUST0228;FLT00004;Corporate Desk;Economy;Standard;$178,00;$30,00;1;1;Flown
BKG000092;2024-11-02;CUST0285;FLT00004;Mobile App;Economy;Basic;$117,00;$30,00;1;0;Flown
BKG000093;2024-11-04;CUST0142;FLT00004;Mobile App;Economy;Standard;$163,00;$18,00;1;0;Flown
BKG000094;2024-11-24;CUST0214;FLT00004;Corporate Desk;Economy;Standard;$289,00;$48,00;2;0;Confirmed
BKG000095;2024-12-23;CUST0056;FLT00004;Corporate Desk;Economy;Standard;$329,00;$12,00;0;0;Confirmed
BKG000096;2024-11-28;CUST0078;FLT00004;Web;Economy;Standard;$328,00;$12,00;0;0;Flown
BKG000097;2024-11-14;CUST0214;FLT00004;Web;Economy;Standard;$200,00;$48,00;2;1;Flown
BKG000098;2024-12-18;CUST0030;FLT00004;Travel Agency;Premium Economy;Basic;$183,60;$18,00;1;1;Flown
BKG000099;2024-11-21;CUST0295;FLT00004;Web;Economy;Basic;$242,10;$18,00;1;0;Flown
BKG000100;2024-11-15;CUST0254;FLT00004;Travel Agency;Economy;Standard;$201,00;$18,00;1;1;Flown
BKG000101;2024-12-02;CUST0263;FLT00005;Travel Agency;Economy;Flex;$410,64;$0,00;0;0;Confirmed
BKG000102;2024-11-16;CUST0281;FLT00005;Mobile App;Economy;Flex;$309,16;$12,00;0;1;Flown
BKG000103;2024-12-25;CUST0100;FLT00005;Mobile App;Economy;Basic;$257,40;$0,00;0;1;Flown
BKG000104;2024-11-18;CUST0271;FLT00005;Corporate Desk;Economy;Basic;$151,20;$48,00;2;0;Flown
BKG000105;2024-12-06;CUST0288;FLT00005;Mobile App;Economy;Standard;$223,00;$30,00;1;1;No Show
BKG000106;2024-11-18;CUST0263;FLT00005;Web;Economy;Flex;$282,02;$12,00;0;0;Flown
BKG000107;2024-12-08;CUST0138;FLT00005;Mobile App;Premium Economy;Standard;$307,50;$18,00;1;0;Flown
BKG000108;2024-12-25;CUST0080;FLT00005;Mobile App;Premium Economy;Standard;$363,00;$18,00;1;0;Flown
BKG000109;2024-12-26;CUST0115;FLT00005;Travel Agency;Business;Flex;$954,38;$18,00;1;0;Flown
BKG000110;2024-11-06;CUST0007;FLT00005;Corporate Desk;Business;Basic;$516,24;$0,00;0;0;Confirmed
BKG000111;2024-11-24;CUST0117;FLT00005;Web;Economy;Basic;$243,90;$0,00;0;0;Flown
BKG000112;2024-12-24;CUST0110;FLT00005;Web;Business;Standard;$307,20;$36,00;2;1;Flown
BKG000113;2024-12-26;CUST0205;FLT00005;Travel Agency;Economy;Standard;$188,00;$30,00;1;1;Flown
BKG000114;2024-12-29;CUST0149;FLT00005;Travel Agency;Economy;Basic;$321,30;$18,00;1;1;Flown
BKG000115;2024-12-02;CUST0134;FLT00005;Travel Agency;Economy;Flex;$376,42;$18,00;1;0;Flown
BKG000116;2024-11-16;CUST0090;FLT00005;Mobile App;Premium Economy;Basic;$398,25;$18,00;1;0;Confirmed
BKG000117;2024-11-11;CUST0253;FLT00005;Web;Economy;Basic;$184,50;$36,00;2;0;Flown
BKG000118;2024-11-14;CUST0030;FLT00005;Corporate Desk;Economy;Basic;$211,50;$0,00;0;0;Flown
BKG000119;2024-12-05;CUST0071;FLT00005;Corporate Desk;Economy;Standard;$180,00;$18,00;1;0;Flown
BKG000120;2024-12-10;CUST0259;FLT00005;Web;Economy;Basic;$288,90;$48,00;2;0;Confirmed
BKG000121;2024-12-08;CUST0029;FLT00005;Web;Premium Economy;Flex;$433,65;$18,00;1;1;Flown
BKG000122;2024-12-27;CUST0007;FLT00005;Corporate Desk;Business;Standard;$537,60;$18,00;1;1;Confirmed
BKG000123;2024-12-30;CUST0051;FLT00005;Web;Economy;Basic;$276,30;$18,00;1;1;Flown
BKG000124;2024-12-31;CUST0156;FLT00005;Corporate Desk;Economy;Flex;$342,20;$18,00;1;0;Flown
BKG000125;2024-12-12;CUST0240;FLT00005;Mobile App;Economy;Basic;$282,60;$30,00;1;1;Flown
BKG000126;2024-11-22;CUST0015;FLT00006;Corporate Desk;Economy;Flex;$332,76;$18,00;1;1;Flown
BKG000127;2024-11-05;CUST0274;FLT00006;Web;Economy;Basic;$261,00;$12,00;0;0;Confirmed
BKG000128;2024-11-14;CUST0085;FLT00006;Travel Agency;Premium Economy;Basic;$292,95;$36,00;2;0;No Show
BKG000129;2024-12-03;CUST0052;FLT00006;Mobile App;Economy;Standard;$218,00;$48,00;2;1;No Show
BKG000130;2024-11-08;CUST0010;FLT00006;Web;Economy;Standard;$133,00;$48,00;2;1;Flown
BKG000131;2024-11-17;CUST0033;FLT00006;Web;Economy;Basic;$195,30;$12,00;0;0;Flown
BKG000132;2024-11-05;CUST0236;FLT00006;Mobile App;Economy;Basic;$297,00;$48,00;2;1;Flown
BKG000133;2024-11-12;CUST0001;FLT00006;Corporate Desk;Economy;Flex;$219,48;$0,00;0;1;Changed
BKG000134;2024-12-22;CUST0067;FLT00006;Corporate Desk;Business;Basic;$635,04;$18,00;1;1;Flown
BKG000135;2024-11-17;CUST0278;FLT00006;Web;Economy;Standard;$215,00;$48,00;2;0;Flown
BKG000136;2024-11-18;CUST0157;FLT00006;Corporate Desk;Economy;Basic;$130,50;$18,00;1;0;Flown
BKG000137;2024-12-31;CUST0048;FLT00006;Web;Economy;Flex;$189,98;$0,00;0;1;Confirmed
BKG000138;2024-12-06;CUST0127;FLT00006;Travel Agency;Economy;Basic;$201,60;$30,00;1;0;Flown
BKG000139;2024-11-05;CUST0224;FLT00006;Corporate Desk;Economy;Standard;$256,00;$18,00;1;0;Flown
BKG000140;2024-11-06;CUST0145;FLT00006;Corporate Desk;Economy;Basic;$207,90;$30,00;1;1;Flown
BKG000141;2024-12-04;CUST0046;FLT00006;Travel Agency;Business;Standard;$636,00;$18,00;1;1;Flown
BKG000142;2024-12-31;CUST0053;FLT00006;Corporate Desk;Economy;Standard;$284,00;$0,00;0;1;Flown
BKG000143;2024-12-06;CUST0176;FLT00006;Mobile App;Economy;Basic;$253,80;$30,00;1;1;Flown
BKG000144;2024-11-12;CUST0066;FLT00006;Corporate Desk;Economy;Standard;$239,00;$18,00;1;0;Flown
BKG000145;2024-12-14;CUST0131;FLT00006;Corporate Desk;Economy;Flex;$265,50;$18,00;1;1;Flown
BKG000146;2024-11-18;CUST0110;FLT00006;Web;Economy;Basic;$202,50;$18,00;1;0;Flown
BKG000147;2024-12-02;CUST0114;FLT00006;Corporate Desk;Economy;Basic;$193,50;$18,00;1;1;Flown
BKG000148;2024-11-02;CUST0116;FLT00006;Corporate Desk;Economy;Standard;$269,00;$18,00;1;1;Flown
BKG000149;2024-12-15;CUST0088;FLT00006;Corporate Desk;Economy;Standard;$249,00;$18,00;1;1;Changed
BKG000150;2024-12-21;CUST0229;FLT00006;Web;Economy;Standard;$250,00;$12,00;0;1;Flown
BKG000151;2024-12-27;CUST0111;FLT00007;Web;Economy;Standard;$233,00;$36,00;2;0;Flown
BKG000152;2024-12-08;CUST0107;FLT00007;Web;Economy;Standard;$355,00;$18,00;1;0;Flown
BKG000153;2024-12-06;CUST0220;FLT00007;Travel Agency;Economy;Basic;$219,60;$18,00;1;1;Flown
BKG000154;2024-11-16;CUST0120;FLT00007;Travel Agency;Economy;Standard;$160,00;$36,00;2;0;Flown
BKG000155;2024-11-27;CUST0202;FLT00007;Mobile App;Economy;Basic;$177,30;$36,00;2;0;Flown
BKG000156;2024-12-04;CUST0197;FLT00007;Travel Agency;Economy;Flex;$145,14;$0,00;0;1;Flown
BKG000157;2024-12-01;CUST0294;FLT00007;Travel Agency;Economy;Basic;$274,50;$18,00;1;1;Confirmed
BKG000158;2024-11-12;CUST0006;FLT00007;Travel Agency;Economy;Standard;$270,00;$30,00;1;1;Flown
BKG000159;2024-12-11;CUST0282;FLT00007;Corporate Desk;Economy;Basic;$116,10;$18,00;1;0;Flown
BKG000160;2024-11-22;CUST0150;FLT00007;Mobile App;Economy;Standard;$282,00;$18,00;1;1;Flown
BKG000161;2024-12-13;CUST0095;FLT00007;Travel Agency;Economy;Basic;$179,10;$30,00;1;0;Flown
BKG000162;2024-12-25;CUST0089;FLT00007;Travel Agency;Economy;Basic;$193,50;$30,00;1;1;Flown
BKG000163;2024-11-18;CUST0212;FLT00007;Travel Agency;Economy;Flex;$424,80;$36,00;2;1;Flown
BKG000164;2024-11-04;CUST0007;FLT00007;Travel Agency;Economy;Basic;$287,10;$0,00;0;0;Flown
BKG000165;2024-11-21;CUST0159;FLT00007;Travel Agency;Economy;Standard;$189,00;$12,00;0;1;Confirmed
BKG000166;2024-11-28;CUST0093;FLT00007;Web;Economy;Basic;$320,40;$30,00;1;1;Flown
BKG000167;2024-12-15;CUST0135;FLT00007;Web;Economy;Standard;$204,00;$48,00;2;0;Flown
BKG000168;2024-11-30;CUST0127;FLT00007;Travel Agency;Economy;Standard;$180,00;$0,00;0;1;Flown
BKG000169;2024-12-29;CUST0030;FLT00007;Travel Agency;Economy;Standard;$228,00;$18,00;1;0;Confirmed
BKG000170;2024-11-21;CUST0179;FLT00007;Web;Economy;Basic;$229,50;$36,00;2;0;Flown
BKG000171;2024-12-10;CUST0065;FLT00007;Corporate Desk;Economy;Standard;$205,00;$18,00;1;0;No Show
BKG000172;2024-12-24;CUST0177;FLT00007;Corporate Desk;Economy;Standard;$245,00;$0,00;0;0;Flown
BKG000173;2024-12-11;CUST0052;FLT00007;Travel Agency;Economy;Basic;$151,20;$18,00;1;0;Flown
BKG000174;2024-12-14;CUST0277;FLT00007;Travel Agency;Economy;Flex;$257,24;$36,00;2;1;Flown
BKG000175;2024-12-04;CUST0013;FLT00007;Mobile App;Economy;Basic;$154,80;$36,00;2;0;No Show
BKG000176;2024-11-19;CUST0023;FLT00008;Travel Agency;Economy;Basic;$320,40;$18,00;1;1;Flown
BKG000177;2024-12-02;CUST0211;FLT00008;Mobile App;Business;Basic;$280,80;$18,00;1;0;Flown
BKG000178;2024-11-30;CUST0015;FLT00008;Corporate Desk;Premium Economy;Standard;$403,50;$18,00;1;1;No Show
BKG000179;2024-11-24;CUST0002;FLT00008;Web;Economy;Standard;$249,00;$48,00;2;1;Flown
BKG000180;2024-12-23;CUST0253;FLT00008;Corporate Desk;Economy;Basic;$287,10;$18,00;1;1;Flown
BKG000181;2024-11-29;CUST0123;FLT00008;Mobile App;Economy;Flex;$251,34;$18,00;1;0;Confirmed
BKG000182;2024-12-26;CUST0048;FLT00008;Corporate Desk;Economy;Basic;$135,90;$12,00;0;1;Flown
BKG000183;2024-11-18;CUST0109;FLT00008;Corporate Desk;Economy;Basic;$275,40;$30,00;1;1;Flown
BKG000184;2024-12-18;CUST0177;FLT00008;Corporate Desk;Economy;Basic;$184,50;$48,00;2;0;Confirmed
BKG000185;2024-11-18;CUST0172;FLT00008;Web;Economy;Standard;$252,00;$30,00;1;1;Flown
BKG000186;2024-12-05;CUST0253;FLT00008;Web;Economy;Standard;$133,00;$0,00;0;1;Flown
BKG000187;2024-11-23;CUST0266;FLT00008;Web;Economy;Standard;$229,00;$30,00;1;1;Confirmed
BKG000188;2024-11-25;CUST0059;FLT00008;Web;Economy;Standard;$271,00;$12,00;0;0;Flown
BKG000189;2024-11-04;CUST0147;FLT00008;Mobile App;Premium Economy;Standard;$528,00;$0,00;0;0;Flown
BKG000190;2024-11-07;CUST0241;FLT00008;Travel Agency;Economy;Basic;$150,30;$18,00;1;0;Flown
BKG000191;2024-12-27;CUST0236;FLT00008;Corporate Desk;Business;Flex;$645,70;$18,00;1;1;Flown
BKG000192;2024-11-16;CUST0067;FLT00008;Web;Economy;Standard;$227,00;$18,00;1;0;Flown
BKG000193;2024-11-15;CUST0112;FLT00008;Travel Agency;Economy;Basic;$208,80;$18,00;1;0;Flown
BKG000194;2024-11-08;CUST0010;FLT00008;Web;Economy;Standard;$279,00;$0,00;0;1;Confirmed
BKG000195;2024-11-29;CUST0287;FLT00008;Travel Agency;Economy;Flex;$303,26;$18,00;1;1;Flown
BKG000196;2024-11-03;CUST0142;FLT00008;Mobile App;Economy;Standard;$195,00;$18,00;1;0;Flown
BKG000197;2024-12-01;CUST0110;FLT00008;Corporate Desk;Economy;Basic;$296,10;$18,00;1;0;Flown
BKG000198;2024-12-10;CUST0025;FLT00008;Mobile App;Economy;Flex;$217,12;$0,00;0;1;Changed
BKG000199;2024-11-23;CUST0070;FLT00008;Mobile App;Economy;Flex;$351,64;$36,00;2;0;Flown
BKG000200;2024-11-16;CUST0173;FLT00008;Corporate Desk;Business;Standard;$448,80;$0,00;0;0;Confirmed
BKG000201;2024-12-13;CUST0109;FLT00009;Travel Agency;Economy;Basic;$222,30;$30,00;1;1;Flown
BKG000202;2024-12-30;CUST0028;FLT00009;Mobile App;Economy;Flex;$338,66;$18,00;1;1;Flown
BKG000203;2024-11-30;CUST0041;FLT00009;Travel Agency;Premium Economy;Standard;$345,00;$0,00;0;1;Confirmed
BKG000204;2024-11-11;CUST0157;FLT00009;Travel Agency;Economy;Flex;$177,00;$18,00;1;0;Flown
BKG000205;2024-12-26;CUST0166;FLT00009;Corporate Desk;Economy;Basic;$127,80;$0,00;0;1;Flown
BKG000206;2024-11-19;CUST0224;FLT00009;Travel Agency;Economy;Basic;$252,00;$0,00;0;0;Flown
BKG000207;2024-11-26;CUST0057;FLT00009;Corporate Desk;Economy;Basic;$192,60;$18,00;1;1;Flown
BKG000208;2024-12-30;CUST0191;FLT00009;Web;Premium Economy;Basic;$271,35;$36,00;2;0;Confirmed
BKG000209;2024-12-21;CUST0151;FLT00009;Corporate Desk;Premium Economy;Flex;$260,19;$18,00;1;0;Flown
BKG000210;2024-12-12;CUST0152;FLT00009;Corporate Desk;Economy;Basic;$145,80;$30,00;1;0;Flown
BKG000211;2024-11-02;CUST0283;FLT00009;Corporate Desk;Economy;Standard;$321,00;$12,00;0;0;Flown
BKG000212;2024-12-25;CUST0275;FLT00009;Mobile App;Economy;Standard;$342,00;$12,00;0;1;Flown
BKG000213;2024-11-11;CUST0209;FLT00009;Travel Agency;Economy;Basic;$149,40;$18,00;1;1;Confirmed
BKG000214;2024-12-02;CUST0141;FLT00009;Corporate Desk;Economy;Standard;$207,00;$18,00;1;0;Flown
BKG000215;2024-11-17;CUST0165;FLT00009;Corporate Desk;Economy;Basic;$180,00;$48,00;2;1;Flown
BKG000216;2024-12-12;CUST0285;FLT00009;Web;Economy;Standard;$155,00;$36,00;2;0;Flown
BKG000217;2024-12-20;CUST0221;FLT00009;Corporate Desk;Economy;Flex;$300,90;$18,00;1;0;Confirmed
BKG000218;2024-11-08;CUST0128;FLT00009;Web;Economy;Basic;$262,80;$18,00;1;0;Confirmed
BKG000219;2024-11-12;CUST0006;FLT00009;Mobile App;Economy;Standard;$357,00;$0,00;0;0;Flown
BKG000220;2024-12-17;CUST0295;FLT00009;Travel Agency;Economy;Standard;$191,00;$0,00;0;1;Flown
BKG000221;2024-11-18;CUST0250;FLT00009;Corporate Desk;Business;Basic;$498,96;$36,00;2;0;Flown
BKG000222;2024-11-30;CUST0271;FLT00009;Mobile App;Economy;Standard;$302,00;$36,00;2;0;Flown
BKG000223;2024-12-01;CUST0204;FLT00009;Web;Economy;Flex;$337,48;$18,00;1;0;Flown
BKG000224;2024-11-08;CUST0165;FLT00009;Corporate Desk;Economy;Standard;$285,00;$0,00;0;1;Flown
BKG000225;2024-12-05;CUST0277;FLT00009;Web;Economy;Flex;$361,08;$0,00;0;1;Flown
BKG000226;2024-12-06;CUST0107;FLT00010;Travel Agency;Business;Basic;$380,16;$18,00;1;1;Confirmed
BKG000227;2024-12-12;CUST0271;FLT00010;Mobile App;Economy;Flex;$378,78;$18,00;1;1;Flown
BKG000228;2024-11-29;CUST0147;FLT00010;Web;Economy;Basic;$249,30;$18,00;1;1;Flown
BKG000229;2024-12-09;CUST0119;FLT00010;Travel Agency;Economy;Standard;$274,00;$12,00;0;1;Flown
BKG000230;2024-12-10;CUST0058;FLT00010;Travel Agency;Business;Flex;$577,73;$36,00;2;0;Flown
BKG000231;2024-12-11;CUST0012;FLT00010;Mobile App;Economy;Flex;$160,48;$18,00;1;0;Confirmed
BKG000232;2024-12-30;CUST0111;FLT00010;Web;Business;Standard;$489,60;$18,00;1;1;Flown
BKG000233;2024-12-15;CUST0185;FLT00010;Web;Economy;Standard;$301,00;$36,00;2;1;Flown
BKG000234;2024-11-28;CUST0152;FLT00010;Corporate Desk;Economy;Standard;$268,00;$0,00;0;0;Flown
BKG000235;2024-11-14;CUST0174;FLT00010;Corporate Desk;Economy;Standard;$209,00;$0,00;0;1;Flown
BKG000236;2024-12-10;CUST0092;FLT00010;Corporate Desk;Business;Standard;$456,00;$36,00;2;1;Flown
BKG000237;2024-11-27;CUST0287;FLT00010;Web;Economy;Flex;$166,38;$48,00;2;0;Flown
BKG000238;2024-12-31;CUST0225;FLT00010;Web;Economy;Standard;$336,00;$18,00;1;0;Confirmed
BKG000239;2024-11-16;CUST0227;FLT00010;Web;Premium Economy;Flex;$610,65;$18,00;1;0;Flown
BKG000240;2024-12-03;CUST0187;FLT00010;Mobile App;Economy;Basic;$168,30;$0,00;0;0;Flown
BKG000241;2024-12-04;CUST0118;FLT00010;Travel Agency;Economy;Basic;$208,80;$30,00;1;1;No Show
